model,strategy,target,seed,rmse,r2,mae
deepseek_v3,zero_shot,TOperacao,12345,36.280516519286905,0.006849706172943115,16.586915969848633
deepseek_v3,zero_shot,TOperacao,13579,35.914491615611276,0.026787936687469482,16.46994972229004
deepseek_v3,zero_shot,TOperacao,14641,36.6463465015827,-0.01327979564666748,16.616416931152344
deepseek_v3,zero_shot,TOperacao,15360,36.570541984165686,-0.009092092514038086,16.853116989135742
deepseek_v3,zero_shot,TOperacao,16384,36.472299594285424,-0.003677845001220703,16.895750045776367
deepseek_v3,zero_shot,TAtracado,42,42.18878904280659,-0.10115659236907959,21.906415939331055
deepseek_v3,zero_shot,TAtracado,137,41.87253957323941,-0.0847097635269165,21.681249618530273
deepseek_v3,zero_shot,TAtracado,256,41.651435041491965,-0.07328462600708008,21.6024169921875
deepseek_v3,zero_shot,TAtracado,512,41.891322903082354,-0.08568322658538818,21.493749618530273
deepseek_v3,zero_shot,TAtracado,1024,42.10048027580119,-0.09655165672302246,21.414751052856445
deepseek_v3,zero_shot,TAtracado,2048,41.88011279421595,-0.08510231971740723,21.52574920654297
deepseek_v3,zero_shot,TAtracado,3141,42.080963571633994,-0.09553515911102295,21.588783264160156
deepseek_v3,zero_shot,TAtracado,4096,41.801753512020134,-0.08104550838470459,21.494281768798828
deepseek_v3,zero_shot,TAtracado,5000,41.865225946538104,-0.08433103561401367,21.547082901000977
deepseek_v3,zero_shot,TAtracado,6273,42.1049525159118,-0.09678459167480469,21.863248825073242
deepseek_v3,zero_shot,TAtracado,7777,42.022064226260206,-0.09247052669525146,21.5554141998291
deepseek_v3,zero_shot,TAtracado,8192,42.15095205080263,-0.0991823673248291,21.95145034790039
deepseek_v3,zero_shot,TAtracado,9001,42.20171924722825,-0.10183179378509521,21.971084594726562
deepseek_v3,zero_shot,TAtracado,10240,42.07153912441135,-0.09504449367523193,21.716747283935547
deepseek_v3,zero_shot,TAtracado,11111,42.17115424078407,-0.10023629665374756,21.985248565673828
deepseek_v3,zero_shot,TAtracado,12345,42.38882085867762,-0.11162340641021729,21.96875
deepseek_v3,zero_shot,TAtracado,13579,41.681792501905136,-0.07484972476959229,21.466585159301758
deepseek_v3,zero_shot,TAtracado,14641,42.2710616304723,-0.10545551776885986,21.8487491607666
deepseek_v3,zero_shot,TAtracado,15360,41.97386155348275,-0.08996570110321045,21.6114559173584
deepseek_v3,zero_shot,TAtracado,16384,42.188501145528384,-0.10114169120788574,21.629121780395508
