model,strategy,target,seed,rmse,r2,mae
deepseek_v3,few_shot,TOperacao,8192,34.9100458852597,0.08046376705169678,14.866266250610352
deepseek_v3,few_shot,TOperacao,9001,46.30280189028117,-0.6176425218582153,17.52593231201172
deepseek_v3,few_shot,TOperacao,10240,36.677337018672034,-0.014994382858276367,15.76601791381836
deepseek_v3,few_shot,TOperacao,11111,37.933632164858004,-0.08571767807006836,16.501399993896484
deepseek_v3,few_shot,TOperacao,12345,38.716246640218756,-0.13097906112670898,18.995166778564453
deepseek_v3,few_shot,TOperacao,13579,34.32174674757518,0.11119437217712402,17.175399780273438
deepseek_v3,few_shot,TOperacao,14641,42.06666578322066,-0.3351935148239136,17.478466033935547
deepseek_v3,few_shot,TOperacao,15360,36.000627300307215,0.022114157676696777,20.565732955932617
deepseek_v3,few_shot,TOperacao,16384,32.869803014245655,0.18480366468429565,14.628466606140137
deepseek_v3,few_shot,TAtracado,42,40.58746463079765,-0.019151687622070312,19.255483627319336
deepseek_v3,few_shot,TAtracado,137,42.00549861699656,-0.09160935878753662,21.8343505859375
deepseek_v3,few_shot,TAtracado,256,39.848409654001564,0.017625749111175537,22.922685623168945
deepseek_v3,few_shot,TAtracado,512,58.168101878709045,-1.0932676792144775,35.133235931396484
deepseek_v3,few_shot,TAtracado,1024,39.878730049382995,0.01613020896911621,22.031665802001953
deepseek_v3,few_shot,TAtracado,2048,39.329537246197035,0.04304248094558716,19.458250045776367
deepseek_v3,few_shot,TAtracado,3141,43.319676364806355,-0.16098177433013916,21.345483779907227
deepseek_v3,few_shot,TAtracado,4096,43.87055933724233,-0.19069719314575195,25.328184127807617
deepseek_v3,few_shot,TAtracado,5000,40.02433646877391,0.00893247127532959,19.522266387939453
deepseek_v3,few_shot,TAtracado,6273,56.706816926516865,-0.9894156455993652,29.806833267211914
deepseek_v3,few_shot,TAtracado,7777,38.93697174350732,0.06205075979232788,22.148916244506836
deepseek_v3,few_shot,TAtracado,8192,39.851442272167205,0.017476201057434082,19.354015350341797
deepseek_v3,few_shot,TAtracado,9001,39.34038191749112,0.042514681816101074,20.33453369140625
deepseek_v3,few_shot,TAtracado,10240,87.54636885227593,-3.741669178009033,60.326148986816406
deepseek_v3,few_shot,TAtracado,11111,42.57429741970206,-0.12137258052825928,21.982149124145508
deepseek_v3,few_shot,TAtracado,12345,43.8736394687559,-0.19086432456970215,24.00006866455078
deepseek_v3,few_shot,TAtracado,13579,37.97348382269939,0.10789525508880615,19.929283142089844
deepseek_v3,few_shot,TAtracado,14641,43.771784475971934,-0.185341477394104,22.100683212280273
deepseek_v3,few_shot,TAtracado,15360,37.83046125582035,0.11460262537002563,22.520116806030273
deepseek_v3,few_shot,TAtracado,16384,38.28939167247813,0.09299033880233765,20.496084213256836
