model,strategy,target,seed,rmse,r2,mae
encoder_minilm,ft_100,TOperacao,6273,34.96516177684487,0.07755794029624752,18.50945403933525
encoder_minilm,ft_100,TAtracado,6273,39.5805795686008,0.030786867847964472,23.28829703271389
encoder_minilm,ft_100,TOperacao,7777,35.434043195258056,0.052652238165744936,16.97690682411194
encoder_minilm,ft_100,TAtracado,7777,38.258451766445695,0.094455548735077,20.805227224230766
encoder_minilm,ft_100,TOperacao,8192,34.67195647206343,0.09296361158341271,16.247302120923997
encoder_minilm,ft_100,TAtracado,8192,39.457685530307394,0.03679615843979367,21.099307098984717
encoder_minilm,ft_100,TOperacao,9001,38.11259692509177,-0.09598622717498673,20.946952089071274
encoder_minilm,ft_100,TAtracado,9001,43.30105536714441,-0.15998388113764683,26.165755138993262
encoder_minilm,ft_100,TOperacao,10240,34.80789911291357,0.08583700766419222,16.129870632886888
encoder_minilm,ft_100,TAtracado,10240,39.46364568661169,0.036505149022789674,20.731705695986747
encoder_minilm,ft_100,TOperacao,11111,36.422450328741505,-0.0009360525258685914,19.047143366336822
encoder_minilm,ft_100,TAtracado,11111,40.47326104561717,-0.013424473061644848,23.28785430252552
encoder_minilm,ft_100,TOperacao,12345,33.9405885508531,0.13082595143103015,15.760524324178697
encoder_minilm,ft_100,TAtracado,12345,38.44750195682066,0.08548412882039969,21.497771938443183
encoder_minilm,ft_100,TOperacao,13579,34.2032335627805,0.11732191318923935,18.008564901351928
encoder_minilm,ft_100,TAtracado,13579,38.093222476759266,0.10226032741166602,21.38076186478138
encoder_minilm,ft_100,TOperacao,14641,37.40006658368083,-0.05538948677900124,19.393020803928376
encoder_minilm,ft_100,TAtracado,14641,41.41290658130273,-0.061026954497308106,23.956270726323126
encoder_minilm,ft_100,TOperacao,15360,35.29250542463038,0.060205296329995384,17.450683962106705
encoder_minilm,ft_100,TAtracado,15360,38.68172278994633,0.07430779206463489,20.74705094754696
encoder_minilm,ft_100,TOperacao,16384,34.71476731630424,0.09072232089288268,17.40906526684761
encoder_minilm,ft_100,TAtracado,16384,38.09926289364621,0.10197559687618085,22.646055098176003
encoder_minilm,ft_500,TOperacao,42,34.040626426989384,0.12569472242179036,17.524373874664306
encoder_minilm,ft_500,TAtracado,42,36.02735257698712,0.19699233465293875,19.890033412575722
encoder_minilm,ft_500,TOperacao,137,35.996905269839985,0.022316370809202457,16.877779690027236
encoder_minilm,ft_500,TAtracado,137,39.17404515725747,0.0505943088263654,20.55788557112217
encoder_minilm,ft_500,TOperacao,256,31.933165773912883,0.23060038620587908,17.17748143196106
encoder_minilm,ft_500,TAtracado,256,35.387180920101976,0.22527615286718616,20.613687239289284
encoder_minilm,ft_500,TOperacao,512,32.137773373595564,0.22070914338897796,16.127334520816802
encoder_minilm,ft_500,TAtracado,512,36.67588879189242,0.16782189345940768,21.90953750193119
encoder_minilm,ft_500,TOperacao,1024,33.09171722828108,0.17375922793819432,14.466932785511016
encoder_minilm,ft_500,TAtracado,1024,36.709223993179556,0.16630845056250487,18.220652347207068
encoder_minilm,ft_500,TOperacao,2048,33.50343326737677,0.1530717092424424,15.785841721296311
encoder_minilm,ft_500,TAtracado,2048,37.86811850964762,0.11283898995163066,20.335371678471564
encoder_minilm,ft_500,TOperacao,3141,33.779488308901804,0.13905750195028843,14.820112500190735
encoder_minilm,ft_500,TAtracado,3141,37.72187778975615,0.11967791165835007,19.315673530697822
encoder_minilm,ft_500,TOperacao,4096,32.95923003586173,0.18036191874120122,15.946502909660339
encoder_minilm,ft_500,TAtracado,4096,37.32869405466272,0.13793386601217705,20.123254917263985
encoder_minilm,ft_500,TOperacao,5000,34.62163243730299,0.09559470653808755,17.54783171415329
encoder_minilm,ft_500,TAtracado,5000,39.63555702652451,0.028092522229964834,22.524045327305792
encoder_minilm,ft_500,TOperacao,6273,32.34034643705249,0.21085401982930596,16.455682705640793
encoder_minilm,ft_500,TAtracado,6273,37.75764073906368,0.1180079079334363,22.40333952844143
encoder_minilm,ft_500,TOperacao,7777,32.51648552968892,0.20223457094054786,15.704163898229599
encoder_minilm,ft_500,TAtracado,7777,35.9534453183512,0.20028356850786888,19.711746149659156
encoder_minilm,ft_500,TOperacao,8192,32.822652706464176,0.18714072042290986,14.94979794025421
encoder_minilm,ft_500,TAtracado,8192,37.26804425731206,0.14073287429927606,19.81265993654728
