model,target,size,seed,rmse,r2,mae,train_s,infer_s
mlp,TOperacao,500,8192,32.028963119829015,0.22597716790979516,15.885160189718007,0.684,0.00031
mlp,TOperacao,500,9001,33.584775765878405,0.14895422714921092,15.890812240242958,0.767,0.00026
mlp,TOperacao,500,10240,37.17773899528037,-0.04287909327238659,25.768935782909395,0.274,0.00024
mlp,TOperacao,500,11111,29.706166015361518,0.3341732786673397,13.89971521779895,0.66,0.00045
mlp,TOperacao,500,12345,32.9444319454389,0.18109775847776488,18.056557393968106,0.489,0.00024
mlp,TOperacao,500,13579,33.069149970134816,0.17488577152295903,14.306652997732163,1.155,0.00025
mlp,TOperacao,500,14641,33.77934514012994,0.13906479985946685,15.458290887847543,0.725,0.00025
mlp,TOperacao,500,15360,33.35721347791158,0.1604481140185442,15.423998413830995,0.964,0.00064
mlp,TOperacao,500,16384,47.08970923294405,-0.6730928008146455,23.965555859059094,0.189,0.00025
mlp,TOperacao,1500,42,31.899127428711843,0.2322397558844418,13.784065197110175,1.411,0.00035
mlp,TOperacao,1500,137,31.25249436511855,0.26305108465935567,14.166731494069099,1.761,0.00046
mlp,TOperacao,1500,256,30.185442469495847,0.31251519219596935,13.607780085802078,1.834,0.00038
mlp,TOperacao,1500,512,30.794873870675254,0.28447490138175,12.377088222652674,1.494,0.00056
mlp,TOperacao,1500,1024,30.120277357741262,0.3154803080230004,13.955606158673763,2.046,0.00057
mlp,TOperacao,1500,2048,29.404052854857767,0.3476473928871082,12.288526673614978,1.499,0.00045
mlp,TOperacao,1500,3141,34.26923416865936,0.11391208956579613,17.476357752233742,0.676,0.00051
mlp,TOperacao,1500,4096,29.933274427040434,0.32395365759847494,19.027224079221487,0.469,0.00041
mlp,TOperacao,1500,5000,32.937564578419504,0.18143912821914843,13.615727540701627,1.846,0.00053
mlp,TOperacao,1500,6273,32.221462617483645,0.2166451916960085,12.642198045551776,1.061,0.00026
mlp,TOperacao,1500,7777,33.73153901547601,0.14149994778615627,14.662205374836923,1.406,0.00039
mlp,TOperacao,1500,8192,30.31174163108732,0.30675013472635715,12.3260873927176,1.156,0.00032
mlp,TOperacao,1500,9001,31.8226126165976,0.2359185133427355,13.544791277945041,1.046,0.00047
mlp,TOperacao,1500,10240,35.83227758747797,0.03123856770268818,18.40445556961,0.621,0.00032
mlp,TOperacao,1500,11111,31.424821742768366,0.2549015523937487,14.078275656104088,1.157,0.00027
mlp,TOperacao,1500,12345,30.79790661785529,0.2843339614585848,13.86233781605959,1.543,0.00026
mlp,TOperacao,1500,13579,33.453096196395265,0.15561472404992405,16.843815271779896,0.609,0.00036
mlp,TOperacao,1500,14641,29.322340217241166,0.3512680764459921,13.283826741650701,0.919,0.00027
mlp,TOperacao,1500,15360,35.24109096835827,0.06294150546576627,18.993504361510276,0.519,0.0004
mlp,TOperacao,1500,16384,31.443382694996988,0.25402111329081656,14.409192441105843,1.467,0.00062
mlp,TOperacao,3000,42,31.48259255986943,0.2521594835277947,16.664698659777642,0.659,0.00027
mlp,TOperacao,3000,137,24.624988198775334,0.542469474113475,11.065008680522443,1.399,0.00036
mlp,TOperacao,3000,256,30.65287382620476,0.2910584866109873,15.418596946299076,0.625,0.00055
mlp,TOperacao,3000,512,25.883969855125372,0.49448996228913344,12.096527483910322,1.925,0.00026
mlp,TOperacao,3000,1024,28.581176288483622,0.38364885056217823,12.692873448431492,1.256,0.00026
mlp,TOperacao,3000,2048,24.272181929557092,0.5554857885745506,10.93461433276534,0.969,0.00025
mlp,TOperacao,3000,3141,24.506930242303138,0.5468459747569814,11.206873152852058,0.758,0.00026
mlp,TOperacao,3000,4096,29.552442045031114,0.3410465114312583,12.431680856645107,1.16,0.00025
mlp,TOperacao,3000,5000,31.546948629347323,0.24909891808308948,13.637736280411481,0.937,0.00025
mlp,TOperacao,3000,6273,31.696031562750086,0.24198500967487757,14.694361723810434,0.464,0.00026
mlp,TOperacao,3000,7777,26.357131296765207,0.4758394965370518,11.886726681441068,0.789,0.00025
mlp,TOperacao,3000,8192,28.41875874241594,0.3906339938302731,11.861873275637628,1.018,0.00025
mlp,TOperacao,3000,9001,28.30792208481802,0.39537792966879204,12.627852500379085,2.291,0.00026
mlp,TOperacao,3000,10240,26.994487664725675,0.45018296497656507,11.966335497796535,0.968,0.00025
mlp,TOperacao,3000,11111,24.60105508927061,0.5433583928699919,11.873878423273563,0.96,0.00026
mlp,TOperacao,3000,12345,37.511224298367054,-0.06167231091294556,14.320903078317642,0.981,0.00025
mlp,TOperacao,3000,13579,25.256253477739694,0.5187110751272714,11.515706739127635,0.848,0.00025
mlp,TOperacao,3000,14641,30.213902610911624,0.3112182001994668,13.608774833232165,1.06,0.00026
mlp,TOperacao,3000,15360,32.7202294600697,0.1922058677852433,13.334396914094686,0.892,0.00026
mlp,TOperacao,3000,16384,31.048529797665324,0.2726388617334278,12.832772714048623,1.532,0.00026
mlp,TOperacao,6000,42,27.520124459754566,0.42856241695673736,12.272961896061897,1.366,0.00025
mlp,TOperacao,6000,137,29.462399576678184,0.3450558861790618,12.229608444869518,2.255,0.00025
mlp,TOperacao,6000,256,27.55366984410901,0.42716847149152126,12.309166088402272,1.059,0.00025
mlp,TOperacao,6000,512,26.585115164621836,0.46673251416848105,11.131776158809663,1.402,0.00026
mlp,TOperacao,6000,1024,31.75387981033582,0.23921558702376,13.100406879931688,1.565,0.00029
mlp,TOperacao,6000,2048,25.974180774166143,0.4909602106786458,11.739663529992104,1.261,0.00026
mlp,TOperacao,6000,3141,23.359118959113733,0.5882999406176694,10.383060524612665,1.541,0.00026
