model,target,size,seed,rmse,r2,mae,train_s,infer_s,best_iter
xgboost,TOperacao,12000,42,22.093482809185794,0.6317045279665539,9.819359084367752,4.82,0.0007,136
xgboost,TOperacao,12000,137,26.628674718858466,0.46498357127088097,10.766342809796333,5.011,0.0007,148
xgboost,TOperacao,12000,256,20.53984574852584,0.6816811417144011,9.828177320957185,9.153,0.0009,410
xgboost,TOperacao,12000,512,23.327154421447347,0.589425907582825,10.07427109360695,4.002,0.00065,102
xgboost,TOperacao,12000,1024,20.718209387815758,0.6761287117431338,9.788955404758454,4.576,0.00065,121
xgboost,TOperacao,12000,2048,26.277787166213525,0.47899055726394113,11.239570754766465,4.216,0.00066,116
xgboost,TOperacao,12000,3141,23.160057303518094,0.5952868907007969,10.377556228637696,4.789,0.00069,140
xgboost,TOperacao,12000,4096,22.686680772932384,0.6116619611455316,9.865049563646316,11.765,0.00135,539
xgboost,TOperacao,12000,5000,28.800882654514158,0.3741365233512417,12.811119335889817,4.609,0.00065,145
xgboost,TOperacao,12000,6273,24.966519512441025,0.5296902097726429,11.240435427725314,6.831,0.00078,295
xgboost,TOperacao,12000,7777,25.44770397183238,0.5113867711253695,10.471086348295211,4.539,0.00066,128
xgboost,TOperacao,12000,8192,23.87538982159842,0.5699004825772278,10.736479650735856,4.771,0.00067,145
xgboost,TOperacao,12000,9001,21.593703195922497,0.6481785871256325,9.953016611337661,7.47,0.00079,309
xgboost,TOperacao,12000,10240,24.168715099289283,0.5592674385990892,9.953600484728813,6.512,0.00074,236
xgboost,TOperacao,12000,11111,23.468399118152128,0.5844388457586381,10.984326552152634,5.144,0.00068,169
xgboost,TOperacao,12000,12345,22.70790658784445,0.6109349577178573,10.198370794057846,6.372,0.00071,251
xgboost,TOperacao,12000,13579,22.88931290232177,0.6046938917470494,10.225799333900213,13.558,0.00143,690
xgboost,TOperacao,12000,14641,25.07234180151788,0.5256948804481801,10.844945290088653,5.77,0.00074,218
xgboost,TOperacao,12000,15360,25.961070456332937,0.4914739507836131,11.119875293374061,5.152,0.00068,184
xgboost,TOperacao,12000,16384,23.116356332001097,0.5968127651439215,11.227773048877715,4.909,0.00068,150
xgboost,TAtracado,100,42,39.486891506127904,0.03536973319914527,22.20462336540222,1.175,0.00068,320
xgboost,TAtracado,100,137,36.85682858756639,0.1595905693473032,22.421346376538278,0.394,0.00058,73
xgboost,TAtracado,100,256,37.98873259071298,0.10717858092825161,19.240624393969775,0.632,0.00061,147
xgboost,TAtracado,100,512,35.195172184814545,0.2336605552267984,19.718171663880348,0.36,0.00057,76
xgboost,TAtracado,100,1024,38.08294743459283,0.10274456415167621,19.79412984987721,8.37,0.00184,2777
xgboost,TAtracado,100,2048,37.8016929851612,0.11594864800781501,21.290010967850684,0.265,0.00055,45
xgboost,TAtracado,100,3141,39.20562177170079,0.04906313685894548,21.168860865682362,6.492,0.00157,2301
xgboost,TAtracado,100,4096,45.84282715264316,-0.3001629243087458,29.23251940175891,1.072,0.00067,294
