model,target,size,seed,rmse,r2,mae,train_s,infer_s
svm,TAtracado,1500,9001,39.34772214678134,0.0421573226048436,18.473984872551128,0.034,0.00014
knn,TAtracado,1500,10240,33.616731923858325,0.3008570651098635,17.430349880456923,0.0,0.00405
svm,TAtracado,1500,10240,37.76725677765333,0.1175586028485169,17.779268474350115,0.033,0.00015
knn,TAtracado,1500,11111,31.772782932003626,0.3754524587336375,16.950670838952064,0.0,0.00392
svm,TAtracado,1500,11111,38.758694724788384,0.0706200963311091,18.10660417899507,0.034,0.00016
knn,TAtracado,1500,12345,36.963883777672486,0.1547013339160641,18.72703734636307,0.0,0.00421
svm,TAtracado,1500,12345,39.09559116443143,0.0543932569124254,18.479337821205164,0.034,0.00015
knn,TAtracado,1500,13579,37.239501626596905,0.1420485511976313,19.375166484713553,0.0,0.00404
svm,TAtracado,1500,13579,38.278728580351626,0.0934954250893701,17.608091433930767,0.036,0.00016
knn,TAtracado,1500,14641,35.65264670764285,0.2136089849358697,17.541241580843927,0.0,0.00477
svm,TAtracado,1500,14641,38.40498279287147,0.0875057399571399,17.97441869122482,0.033,0.00017
knn,TAtracado,1500,15360,40.07528134639992,0.006407850387105,20.636233338713645,0.0,0.0046
svm,TAtracado,1500,15360,39.221325468681414,0.0483011943414621,18.274442477335207,0.033,0.00016
knn,TAtracado,1500,16384,34.61704899273967,0.258629882368566,19.11245843052864,0.0,0.00412
svm,TAtracado,1500,16384,38.22011842388442,0.0962692737451178,17.942736700024938,0.037,0.00016
knn,TAtracado,3000,42,36.90242476666096,0.1575099149234923,18.402528760433196,0.001,0.00616
svm,TAtracado,3000,42,33.88475462502277,0.2896642350886738,15.532435347709482,0.07,0.00017
knn,TAtracado,3000,137,32.04271219810268,0.3647955533828885,16.195120792984962,0.001,0.00699
svm,TAtracado,3000,137,35.50559005705059,0.2200828678385907,15.72785751736701,0.069,0.00016
knn,TAtracado,3000,256,34.79586530298557,0.2509509224737525,18.111695717573166,0.001,0.00669
svm,TAtracado,3000,256,35.343110729939404,0.2272045894648084,15.647049946397267,0.072,0.00017
knn,TAtracado,3000,512,32.26920355295367,0.3557840330293604,16.47911230266094,0.001,0.00679
svm,TAtracado,3000,512,35.85539874608616,0.2046393425507623,15.883975408764307,0.072,0.00017
knn,TAtracado,3000,1024,34.75373742425982,0.2527635945169491,18.13445404291153,0.001,0.00658
svm,TAtracado,3000,1024,35.36062162122009,0.2264386303591873,15.959656414705314,0.071,0.00018
knn,TAtracado,3000,2048,32.27084350369144,0.3557185520642483,16.14898323595524,0.001,0.00679
svm,TAtracado,3000,2048,35.31413594333272,0.228471167486908,15.8449621923098,0.073,0.00017
knn,TAtracado,3000,3141,33.10076640231712,0.32215391778452,17.388024706840515,0.001,0.00722
svm,TAtracado,3000,3141,35.948876565319146,0.2004868021447562,16.427608046058108,0.067,0.00016
knn,TAtracado,3000,4096,38.51809705669835,0.0821226823297583,18.475554199814795,0.001,0.00698
svm,TAtracado,3000,4096,35.69691006946727,0.2116551374208353,15.63987178610052,0.068,0.00017
knn,TAtracado,3000,5000,34.92315902804256,0.2454604048741531,17.512916561961173,0.001,0.00749
svm,TAtracado,3000,5000,35.1322479167531,0.236398330835903,15.563775379495937,0.072,0.00017
knn,TAtracado,3000,6273,34.79521039177622,0.2509791186985856,17.936375032663346,0.001,0.00736
svm,TAtracado,3000,6273,35.788525951494464,0.2076033809992686,15.814262928354085,0.069,0.00017
knn,TAtracado,3000,7777,33.87446766213875,0.2900954666879847,16.60453743636608,0.001,0.00745
svm,TAtracado,3000,7777,35.701311259478686,0.211460730150255,16.455714998667077,0.069,0.00017
knn,TAtracado,3000,8192,35.4827910958391,0.2210841519475699,17.405312417149545,0.001,0.00675
svm,TAtracado,3000,8192,35.268871891371624,0.2304477210218084,16.41281102873043,0.072,0.00018
knn,TAtracado,3000,9001,32.53168846221662,0.3452610149686604,16.570941749215127,0.001,0.0075
svm,TAtracado,3000,9001,34.901789781050574,0.2463835178087077,15.719770368382424,0.069,0.00018
knn,TAtracado,3000,10240,35.800210388842665,0.2070858844094633,17.78020405113697,0.001,0.0063
svm,TAtracado,3000,10240,35.68968488040048,0.2119742330641815,16.26572732703534,0.071,0.00018
knn,TAtracado,3000,11111,33.61829798846209,0.3007919232329381,17.16267080783844,0.001,0.00665
svm,TAtracado,3000,11111,35.47083926343426,0.221608795218844,15.960636887450702,0.069,0.00018
knn,TAtracado,3000,12345,37.05947098194545,0.150323860527012,18.41204157292843,0.001,0.00631
